Cueanexo,departamento_id,SNU,SNU - INET,Secundario - INET,Nivel inicial - Jardín maternal,Nivel inicial - Jardín de infantes,Primario,Secundario
20008400,2070,0,0,0,0,1,0,0
20008500,2070,0,0,0,0,0,1,0
20008600,2070,0,0,0,0,0,1,0
20008700,2105,0,0,0,1,1,1,0
20008900,2028,0,0,0,0,0,1,0
20009000,2056,0,0,0,0,0,1,0
20009100,2084,0,0,0,1,1,1,1
20009500,2098,0,0,0,1,1,1,1
20009600,2014,0,0,0,0,0,0,0
20009700,2070,0,0,0,1,1,0,0
20009800,2105,0,0,0,1,1,1,1
20009900,2084,0,0,0,1,1,1,0
20010000,2098,0,0,0,0,1,1,1
20010200,2056,0,0,0,1,1,1,1
20010300,2056,0,0,0,0,0,1,0
20010400,2028,0,0,0,0,1,1,0
20010500,2042,0,0,0,0,0,0,0
20010600,2035,0,0,0,0,0,0,0
20010700,2021,0,0,0,0,0,0,0
20010800,2056,0,0,0,0,0,0,0
20011000,2063,0,0,0,0,0,1,0
20011100,2063,0,0,0,0,0,1,0
20011200,2063,0,0,0,0,0,1,0
20011300,2063,0,0,0,0,0,1,0
20011400,2042,0,0,0,0,1,1,0
20011500,2070,0,0,0,1,1,1,1
20011600,2084,1,0,0,0,1,1,1
20011700,2049,0,0,0,0,1,0,0
20011800,2007,0,0,0,1,1,1,1
20011900,2028,0,0,0,0,0,0,0
20012000,2007,0,0,0,0,0,1,0
20012100,2007,0,0,0,0,0,1,0
20012300,2098,0,0,0,1,1,1,1
20012301,2098,0,0,0,0,0,0,1
20012400,2091,0,0,0,0,0,0,0
20012500,2098,0,0,0,0,0,1,0
20012600,2091,0,0,0,1,1,1,1
20012700,2098,0,0,0,1,1,1,1
20012800,2098,0,0,0,0,0,1,0
20012900,2091,0,0,1,0,0,0,1
20013000,2105,0,0,0,0,0,1,0
20013500,2028,0,0,0,0,0,1,0
20013600,2084,0,0,0,0,0,1,0
20013800,2084,0,0,0,0,1,1,1
20013900,2049,0,0,0,0,0,1,0
20014000,2077,0,0,0,0,0,1,0
20014100,2049,0,0,0,0,0,1,0
20014200,2077,0,0,0,1,1,1,1
20014300,2077,0,0,0,0,0,0,1
20014400,2077,0,0,0,1,1,0,0
20014500,2077,1,0,0,0,0,0,1
20014600,2007,0,0,0,0,1,1,0
20014700,2063,0,0,0,0,0,0,0
20015000,2028,0,0,0,1,1,1,1
20015200,2105,0,0,0,0,0,0,1
20015300,2056,0,0,0,0,0,1,0
20015400,2028,0,0,0,0,0,1,0
20015500,2049,0,0,0,1,1,0,0
20015700,2049,0,0,0,1,1,1,0
20015800,2035,0,0,0,1,1,0,0
20015801,2042,0,0,0,0,1,0,0
20015900,2105,0,0,0,0,0,0,1
20016000,2105,0,0,0,0,0,1,0
20016100,2077,0,0,0,0,0,1,0
20016200,2077,0,0,0,0,0,0,0
20016300,2077,0,0,0,0,0,0,1
20016500,2049,0,0,0,0,0,1,0
20016600,2077,0,0,0,0,0,1,0
20016700,2077,0,0,0,0,0,1,0
20016800,2077,0,0,0,0,1,1,0
20016900,2049,0,0,0,0,0,1,0
20017000,2049,0,0,0,1,1,0,0
20017400,2021,0,0,0,0,1,1,1
20017500,2098,1,1,0,0,0,0,0
20017700,2070,0,0,0,0,1,0,0
20017701,2070,0,0,0,0,1,0,0
20017702,2070,0,0,0,0,1,0,0
20017800,2070,0,0,0,1,1,1,1
20017900,2077,0,0,0,0,0,0,0
20018100,2077,0,0,0,0,0,1,0
20018400,2063,0,0,0,0,0,1,0
20018500,2063,0,0,0,0,0,1,0
20018600,2063,0,0,0,0,0,1,0
20018700,2063,0,0,0,0,1,0,0
20018701,2063,0,0,0,0,1,0,0
20018702,2063,0,0,0,0,1,0,0
20018800,2098,0,0,0,0,1,0,0
20018900,2098,0,0,0,0,0,1,0
20019000,2098,0,0,0,1,1,1,1
20019200,2049,0,0,1,0,0,0,1
20019300,2070,0,0,0,0,0,1,0
20019400,2049,0,0,0,0,1,1,0
20019600,2070,0,0,0,0,0,1,0
20019700,2007,0,0,0,0,0,0,0
20019800,2077,0,0,0,1,1,1,1
20019900,2077,0,0,0,0,1,1,1
20020000,2105,0,0,0,0,0,0,0
20020100,2098,0,0,0,1,1,1,1
20020200,2105,0,0,0,0,0,1,0
20020300,2105,0,0,0,0,1,1,1
20020600,2084,0,0,0,0,1,1,0
20020700,2084,0,0,0,0,0,1,0
20020800,2084,0,0,0,0,0,1,0
20020900,2105,0,0,0,1,1,1,1
20021200,2098,0,0,0,1,1,0,0
20021300,2091,0,0,0,0,0,1,0
20021400,2035,0,0,0,0,0,1,0
20021500,2077,0,0,0,0,0,1,0
20021600,2077,0,0,0,0,0,1,0
20021700,2091,0,0,0,1,1,1,1
20021800,2091,0,0,0,1,1,1,1
20021900,2077,0,0,0,0,0,1,0
20022000,2077,0,0,0,1,1,0,0
20022001,2049,0,0,0,0,1,0,0
20022002,2049,0,0,0,0,1,0,0
20022003,2049,0,0,0,0,1,0,0
20022100,2105,0,0,0,0,0,1,0
20022200,2105,0,0,0,0,0,0,0
20022300,2105,0,0,0,1,1,1,1
20022400,2105,0,0,0,1,1,1,0
20022500,2105,0,0,0,0,1,1,0
20023000,2084,0,0,0,0,0,1,0
20023100,2084,0,0,0,0,1,1,1
20023200,2007,1,0,0,0,0,0,0
20023300,2007,1,0,0,0,0,0,0
20023400,2105,0,0,0,0,1,1,0
20023500,2105,0,0,0,0,0,0,1
20023600,2035,0,0,0,0,0,1,0
20023700,2084,0,0,0,0,0,1,0
20023800,2070,0,0,0,0,0,0,0
20023900,2098,0,0,0,0,1,0,0
20023901,2091,0,0,0,0,1,0,0
20024000,2077,1,1,0,0,0,0,0
20024300,2007,0,0,0,0,0,0,0
20024800,2014,0,0,0,1,1,1,1
20024900,2007,0,0,0,0,1,0,0
20024902,2007,0,0,0,0,1,0,0
20024903,2007,0,0,0,0,1,0,0
20025000,2007,0,0,0,0,0,1,0
20025100,2007,0,0,0,0,0,1,0
20025300,2049,0,0,0,0,1,1,1
20025400,2056,0,0,0,0,1,1,0
20025500,2056,0,0,0,0,1,0,0
20025600,2035,1,1,0,0,0,0,0
20025700,2042,0,0,0,0,0,0,0
20025800,2063,0,0,0,0,0,0,0
20025900,2056,0,0,0,0,0,0,0
20026000,2070,0,0,0,0,0,0,0
20026100,2070,0,0,0,0,0,0,0
20026200,2070,0,0,0,0,0,0,0
20026300,2077,0,0,0,0,0,0,0
20026400,2091,0,0,0,1,1,1,1
20026600,2084,0,0,0,0,0,0,0
20026800,2056,0,0,0,0,0,1,0
20026900,2035,0,0,0,0,0,0,0
20027000,2042,0,0,0,0,0,0,0
20027100,2042,0,0,0,0,0,0,0
20027200,2105,0,0,0,0,0,0,0
20027300,2021,1,1,0,0,0,0,0
20027400,2056,0,0,0,0,1,0,0
20027500,2056,0,0,0,0,1,0,0
20027600,2063,0,0,0,1,1,1,1
20027800,2056,0,0,0,0,1,0,0
20027804,2056,0,0,0,0,1,0,0
20027900,2056,0,0,0,0,0,1,0
20028100,2091,0,0,0,0,0,1,0
20028300,2042,1,0,0,0,0,0,0
20028400,2035,0,0,0,0,0,0,0
20028500,2056,0,0,0,0,0,0,1
20028600,2056,0,0,0,0,0,0,1
20028700,2021,0,0,0,1,1,1,1
20028900,2021,0,0,0,0,0,1,0
20029000,2021,0,0,0,0,1,0,0
20029001,2021,0,0,0,0,1,0,0
20029002,2021,0,0,0,0,1,0,0
20029300,2014,0,0,0,0,1,1,1
20029400,2021,0,0,0,0,1,0,0
20029401,2021,0,0,0,0,1,0,0
20029500,2014,0,0,0,0,1,1,1
20029600,2028,0,0,0,0,0,1,0
20029700,2028,0,0,0,0,0,1,0
20029800,2028,0,0,0,0,0,1,0
20029900,2084,0,0,1,0,0,0,1
20030100,2035,0,0,0,0,0,0,0
20030200,2049,0,0,0,0,0,1,0
20030300,2049,0,0,0,0,1,1,0
20030400,2070,0,0,0,0,0,1,0
20030500,2035,0,0,0,0,0,1,0
20030700,2035,0,0,0,1,1,1,1
20030900,2007,0,0,0,0,1,0,0
20030902,2007,0,0,0,0,1,0,0
20031000,2007,0,0,0,0,0,0,0
20031100,2007,0,0,0,0,0,1,0
20031200,2091,0,0,0,0,0,0,0
20031700,2091,0,0,0,0,0,0,1
20031900,2091,0,0,0,0,0,1,0
20032000,2098,0,0,0,0,0,0,0
20032100,2028,0,0,0,0,0,0,0
20032200,2028,0,0,0,0,0,0,0
20032300,2028,0,0,0,0,0,0,0
20032400,2084,0,0,0,0,0,1,0
20032500,2084,0,0,0,0,0,1,0
20032600,2084,0,0,0,0,0,0,0
20032800,2063,0,0,0,0,0,1,0
20032900,2035,0,0,0,0,0,1,0
20033000,2063,0,0,0,0,0,1,0
20033100,2063,0,0,0,1,1,1,0
20033300,2091,0,0,0,0,0,1,0
20033400,2028,0,0,0,0,1,1,0
20033500,2098,0,0,0,1,1,1,0
20033600,2098,0,0,0,0,1,0,0
20033601,2098,0,0,0,0,1,0,0
20033602,2098,0,0,0,0,1,0,0
20033700,2098,0,0,0,0,0,0,0
20034100,2084,0,0,0,0,0,1,0
20034200,2070,0,0,0,1,1,0,0
20034400,2049,0,0,0,1,1,0,0
20034401,2049,0,0,0,0,1,0,0
20034402,2049,0,0,0,0,1,0,0
20034403,2049,0,0,0,0,1,0,0
20034500,2049,0,0,0,0,0,0,0
20034700,2091,0,0,0,0,0,0,0
20034800,2084,0,0,0,0,0,0,0
20034900,2084,0,0,0,0,0,1,0
20035000,2084,0,0,0,0,0,0,1
20035100,2077,0,0,0,0,0,1,0
20035200,2105,0,0,0,0,0,1,0
20035300,2105,0,0,0,1,1,0,0
20035400,2014,0,0,0,1,1,1,1
20035500,2014,0,0,0,1,1,1,0
20035600,2014,1,0,0,0,0,0,0
20035800,2091,0,0,0,0,0,1,0
20036100,2014,1,0,0,0,0,0,0
20036200,2056,0,0,0,0,0,1,0
20036300,2084,0,0,0,0,0,1,0
20036400,2105,0,0,0,0,0,0,1
20036500,2042,0,0,0,0,0,0,0
20036600,2042,1,1,0,0,0,0,0
20036601,2056,1,1,0,0,0,0,0
20036800,2042,0,0,0,1,1,1,0
20037000,2105,0,0,0,0,0,1,0
20037100,2021,0,0,0,0,0,0,0
20037200,2070,1,1,0,0,0,0,0
20037300,2021,0,0,0,0,0,0,0
20037400,2021,0,0,0,0,0,0,0
20037500,2021,0,0,0,0,0,0,0
20037600,2035,0,0,0,0,0,0,0
20037900,2042,0,0,0,1,1,0,0
20038000,2049,0,0,0,0,0,1,0
20038100,2056,0,0,0,0,1,0,0
20038200,2049,0,0,0,0,1,0,0
20038300,2084,0,0,0,0,0,0,1
20038400,2084,0,0,0,0,0,0,0
20038500,2084,0,0,0,0,0,0,0
20038600,2035,0,0,0,0,0,1,0
20038700,2084,0,0,0,1,1,1,1
20038800,2035,0,0,0,0,0,0,0
20038900,2028,0,0,0,0,0,0,0
20039000,2098,0,0,0,0,0,0,0
20039100,2014,0,0,0,0,0,0,0
20039200,2007,0,0,0,0,0,0,0
20039300,2014,0,0,0,0,0,0,0
20039400,2014,0,0,0,0,0,0,0
20039800,2049,0,0,0,1,1,1,0
20039900,2077,0,0,0,0,0,1,0
20040000,2049,0,0,0,0,0,1,0
20040100,2091,0,0,0,0,0,0,1
20040200,2035,0,0,0,0,1,1,1
20040300,2049,0,0,0,1,1,1,0
20040400,2035,0,0,0,0,0,1,0
20040500,2098,0,0,0,0,0,0,0
20040700,2021,0,0,0,1,1,1,1
20040800,2035,0,0,0,0,0,0,0
20040900,2056,0,0,0,0,0,0,0
20041000,2021,0,0,0,0,0,1,0
20041100,2028,0,0,0,0,1,1,1
20041200,2021,0,0,0,0,1,1,0
20041300,2070,0,0,0,0,0,1,0
20041400,2091,0,0,0,0,0,0,1
20041500,2091,0,0,0,1,1,1,1
20041600,2091,0,0,0,0,0,0,0
20041700,2070,0,0,0,0,0,1,0
20041800,2028,0,0,0,0,0,1,0
20041900,2049,0,0,0,0,0,1,0
20042000,2035,0,0,0,0,1,1,1
20042100,2091,0,0,0,0,0,1,0
20042200,2028,0,0,0,1,1,1,1
20042300,2021,0,0,0,0,0,0,0
20042400,2007,1,1,0,0,0,0,0
20042500,2021,0,0,0,0,1,1,0
20042600,2056,0,0,0,0,1,0,0
20042700,2084,0,0,0,0,1,0,0
20042800,2077,0,0,0,1,1,1,1
20043100,2007,0,0,0,0,0,0,0
20043300,2056,0,0,0,0,0,1,0
20043600,2105,0,0,0,0,0,0,0
20043700,2098,0,0,0,0,1,1,0
20043800,2021,0,0,0,0,0,1,0
20043900,2021,0,0,0,0,1,0,0
20044000,2077,0,0,0,1,1,1,0
20044100,2028,0,0,0,0,0,1,0
20044200,2028,0,0,0,0,1,0,0
20044400,2049,0,0,0,0,1,0,0
20044401,2049,0,0,0,0,1,0,0
20044402,2049,0,0,0,0,1,0,0
20044600,2035,0,0,0,0,1,1,0
20044700,2077,0,0,0,0,0,1,0
20045100,2105,1,1,0,0,0,0,0
20045200,2021,0,0,0,0,0,0,0
20045300,2021,0,0,0,0,0,0,0
20045500,2028,0,0,0,0,1,1,0
20045600,2007,0,0,0,0,1,1,0
20045700,2007,0,0,0,0,1,1,0
20045800,2035,1,1,0,0,0,0,0
20045900,2021,0,0,0,0,0,0,0
20046000,2091,0,0,0,0,0,0,1
20046100,2091,0,0,0,0,0,1,0
20046200,2070,0,0,0,0,0,1,0
20046300,2084,0,0,0,0,0,1,0
20046400,2042,0,0,0,1,1,1,0
20046500,2077,0,0,0,0,0,0,0
20046700,2091,0,0,0,1,1,0,0
20046702,2091,0,0,0,0,1,0,0
20046703,2091,0,0,0,1,1,0,0
20046800,2028,0,0,0,0,0,0,0
20046900,2007,0,0,1,0,0,0,1
20047000,2028,0,0,0,0,0,1,0
20047200,2028,0,0,0,0,0,1,0
20047300,2028,0,0,0,0,0,1,0
20047400,2028,0,0,0,0,0,1,0
20047600,2028,0,0,0,0,0,1,0
20047700,2028,0,0,0,0,1,0,0
20047800,2105,0,0,1,0,0,0,1
20047900,2098,0,0,0,0,1,1,1
20048000,2014,0,0,0,0,0,0,0
20048100,2014,0,0,0,0,0,1,0
20048300,2098,0,0,0,0,0,0,1
20048400,2028,0,0,0,0,0,1,0
20048500,2028,0,0,0,0,0,1,0
20048600,2077,0,0,0,1,1,1,1
20048700,2049,0,0,0,0,0,0,1
20048900,2091,0,0,0,0,0,1,0
20049000,2105,0,0,0,0,0,1,0
20049100,2021,0,0,0,0,0,1,0
20049200,2021,0,0,0,0,1,0,0
20049300,2105,0,0,0,1,1,1,1
20049400,2105,0,0,0,0,0,0,1
20049500,2077,0,0,0,0,0,1,0
20049600,2091,0,0,0,0,1,1,1
20049700,2084,0,0,0,0,0,1,0
20049800,2028,0,0,0,0,0,0,0
20049900,2028,0,0,1,0,0,0,1
20050000,2091,0,0,0,0,0,0,1
20050200,2091,0,0,0,0,1,1,1
20050300,2028,0,0,0,1,1,1,1
20050400,2007,0,0,0,0,0,1,0
20050500,2021,0,0,0,0,0,0,0
20050600,2021,0,0,1,0,0,0,1
20050800,2028,0,0,0,0,1,1,1
20050900,2007,0,0,1,0,0,0,1
20051100,2091,0,0,0,1,1,1,1
20051200,2063,0,0,0,1,1,1,1
20051300,2063,0,0,0,1,1,1,1
20051400,2063,0,0,0,0,0,1,0
20051600,2105,0,0,0,0,0,1,0
20051800,2105,0,0,0,0,0,1,0
20051900,2105,0,0,0,0,0,1,0
20052000,2028,0,0,0,0,0,1,0
20052100,2028,0,0,0,1,1,1,1
20052300,2028,0,0,0,0,0,1,0
20052400,2021,0,0,0,0,0,1,0
20052500,2007,0,0,0,1,1,1,0
20052600,2091,1,0,0,0,0,0,0
20052700,2091,0,0,0,0,0,1,1
20052800,2007,0,0,0,0,0,1,0
20053000,2091,0,0,0,0,0,1,0
20053100,2091,1,1,0,0,0,0,0
20053200,2091,0,0,0,1,1,1,0
20053300,2084,0,0,0,0,0,1,0
20053400,2091,0,0,0,1,1,1,1
20053500,2091,0,0,0,0,1,1,1
20053600,2007,1,0,0,0,0,1,1
20053601,2056,1,0,0,0,0,0,0
20053602,2007,0,0,0,0,1,0,0
20053700,2021,0,0,0,0,0,0,0
20053800,2007,0,0,0,0,0,0,0
20053900,2035,1,1,0,0,0,0,0
20054000,2028,0,0,0,0,0,1,0
20054100,2028,0,0,0,0,1,1,1
20054200,2028,0,0,0,1,1,0,0
20054300,2007,0,0,0,0,0,0,1
20054400,2105,0,0,0,0,0,1,0
20054500,2105,0,0,0,1,1,1,0
20054600,2105,0,0,0,0,0,1,0
20054700,2098,0,0,0,0,0,0,0
20054900,2028,0,0,0,0,0,0,0
20055100,2035,0,0,0,0,0,0,0
20055300,2098,0,0,0,0,0,0,0
20055400,2070,0,0,0,0,1,0,0
20055401,2070,0,0,0,0,1,0,0
20055402,2070,0,0,0,0,1,0,0
20055403,2063,0,0,0,0,1,0,0
20055404,2063,0,0,0,0,1,0,0
20055500,2021,0,0,0,0,0,0,1
20055600,2063,0,0,0,0,0,1,0
20055700,2070,0,0,0,0,0,1,0
20055800,2091,0,0,0,0,0,1,0
20055900,2091,0,0,0,1,1,0,0
20056000,2084,0,0,0,0,1,1,1
20056100,2007,0,0,0,1,1,1,1
20056200,2007,0,0,0,0,1,1,1
20056300,2021,0,0,0,0,0,0,1
20056400,2007,1,1,0,0,0,0,0
20056500,2007,0,0,0,0,1,1,1
20056600,2028,0,0,0,0,0,1,0
20056700,2049,0,0,0,0,0,1,0
20056800,2007,0,0,1,0,0,0,1
20057000,2056,0,0,0,0,0,1,0
20057100,2056,0,0,0,0,1,1,1
20057200,2014,0,0,0,0,1,1,1
20057500,2105,0,0,0,1,1,1,0
20057800,2021,0,0,0,0,0,1,0
20057900,2021,0,0,0,1,1,1,1
20058000,2021,0,0,0,0,1,0,0
20058001,2021,0,0,0,0,1,0,0
20058100,2105,0,0,0,0,0,1,0
20058200,2105,0,0,0,0,0,1,0
20058300,2007,0,0,1,0,0,0,1
20058400,2007,1,0,0,0,0,1,1
20058401,2028,1,0,0,0,0,0,0
20058500,2091,0,0,0,1,1,1,0
20058800,2091,0,0,0,1,1,1,1
20058900,2028,0,0,0,0,0,1,0
20059200,2091,0,0,0,0,0,1,0
20059300,2105,0,0,0,0,0,1,0
20059400,2084,0,0,0,1,1,1,1
20059500,2028,0,0,0,0,1,0,0
20059600,2028,0,0,0,0,0,1,0
20059800,2105,0,0,0,0,0,1,0
20059900,2084,0,0,0,0,0,1,0
20060000,2028,0,0,0,0,1,1,1
20060100,2028,0,0,0,0,0,1,0
20060200,2014,0,0,0,0,0,0,1
20060300,2021,1,1,0,0,0,0,0
20060500,2021,0,0,0,1,1,1,1
20060600,2028,0,0,0,0,1,0,0
20060700,2007,0,0,0,0,0,1,0
20061100,2049,0,0,0,0,0,0,1
20061200,2049,0,0,1,0,0,0,1
20061300,2049,0,0,0,1,1,1,1
20061400,2084,0,0,0,1,1,1,0
20061500,2105,0,0,0,0,0,1,0
20061600,2049,0,0,0,1,1,1,1
20061700,2007,0,0,0,0,1,0,0
20061701,2007,0,0,0,0,1,0,0
20061703,2028,0,0,0,0,1,0,0
20061704,2028,0,0,0,0,1,0,0
20061800,2077,0,0,0,0,0,1,0
20061900,2084,0,0,0,0,0,1,0
20062000,2028,0,0,0,0,1,1,1
20062100,2028,0,0,0,0,1,0,0
20062200,2091,0,0,1,0,0,0,1
20062300,2028,0,0,0,0,0,0,1
20062400,2091,0,0,0,1,1,1,1
20062600,2028,0,0,0,0,0,0,0
20062800,2007,0,0,0,0,0,0,1
20062900,2007,0,0,0,0,0,1,0
20063000,2007,0,0,0,1,1,0,0
20063100,2007,0,0,0,0,0,1,0
20063200,2007,0,0,0,0,1,1,0
20063300,2007,0,0,0,0,1,1,1
20063500,2021,0,0,0,0,0,1,0
20063700,2056,0,0,0,0,0,0,1
20063800,2056,0,0,0,0,0,1,0
20063900,2056,0,0,0,1,1,0,0
20064100,2056,1,0,0,0,1,1,1
20064200,2014,0,0,0,1,1,1,0
20064300,2021,0,0,0,0,0,0,1
20064400,2021,0,0,0,0,0,1,0
20064500,2014,0,0,0,0,0,1,0
20064600,2098,0,0,0,0,0,1,0
20064700,2098,0,0,0,1,1,0,0
20064800,2014,0,0,0,0,0,1,0
20064900,2056,0,0,0,0,0,0,1
20065000,2007,0,0,0,0,0,1,1
20065100,2035,0,0,0,0,0,0,0
20065200,2021,0,0,0,0,0,0,1
20065300,2105,0,0,0,1,1,1,1
20065400,2028,0,0,0,0,0,1,0
20065500,2035,0,0,0,0,1,1,1
20065600,2035,0,0,0,0,0,1,0
20065800,2035,0,0,0,0,1,1,1
20065900,2021,0,0,0,0,0,1,0
20066000,2035,0,0,0,0,0,1,0
20066100,2035,0,0,0,0,0,1,0
20066200,2070,0,0,0,0,0,1,0
20066300,2063,1,0,0,1,1,1,1
20066400,2070,0,0,0,0,1,1,1
20066600,2056,0,0,0,0,1,0,0
20066700,2056,0,0,0,0,0,1,0
20066800,2056,0,0,0,1,1,1,1
20066900,2056,0,0,0,0,0,1,0
20067000,2014,0,0,0,0,1,1,0
20067200,2056,0,0,0,1,1,1,1
20067300,2014,0,0,0,1,1,1,1
20067400,2084,0,0,0,1,1,1,1
20067500,2014,0,0,0,0,1,1,1
20067600,2028,0,0,0,0,1,1,1
20067700,2070,0,0,0,0,1,1,1
20067800,2070,0,0,0,0,0,1,0
20068000,2070,0,0,0,0,0,0,1
20068100,2070,0,0,0,0,0,1,0
20068300,2070,0,0,0,1,1,1,1
20068400,2070,0,0,0,1,1,1,1
20068500,2035,0,0,0,1,1,1,1
20068600,2105,0,0,0,1,1,1,1
20068700,2105,0,0,0,0,0,1,0
20068900,2105,0,0,0,0,0,1,0
20069000,2021,1,0,0,1,1,1,1
20069100,2021,0,0,0,0,1,1,1
20069200,2021,1,0,0,0,0,0,0
20069400,2070,0,0,0,0,0,1,0
20069500,2070,0,0,0,0,1,0,0
20069502,2070,0,0,0,1,1,0,0
20069504,2070,0,0,0,0,1,0,0
20069600,2014,1,0,0,1,1,1,1
20069700,2070,0,0,0,0,0,0,0
20069800,2056,0,0,0,0,0,0,0
20069900,2014,0,0,0,1,1,1,1
20070000,2014,0,0,0,1,1,1,1
20070100,2056,0,0,0,0,0,1,0
20070200,2028,0,0,0,0,1,0,0
20070300,2056,0,0,0,1,1,0,0
20070400,2007,1,1,0,0,0,0,0
20070500,2056,0,0,0,0,0,1,0
20070600,2084,0,0,0,0,1,0,0
20070601,2084,0,0,0,0,1,0,0
20070602,2084,0,0,0,0,1,0,0
20070603,2084,0,0,0,0,1,0,0
20070700,2084,0,0,0,0,0,1,0
20070800,2098,1,0,0,1,1,1,1
20070900,2098,0,0,0,0,1,0,0
20071000,2098,0,0,0,0,0,1,0
20071100,2056,0,0,0,0,0,1,0
20071300,2014,0,0,0,0,1,0,0
20071302,2014,0,0,0,0,1,0,0
20071303,2014,0,0,0,0,1,0,0
20071400,2098,0,0,0,0,0,1,0
20071500,2014,1,0,0,0,0,0,0
20071600,2098,0,0,0,1,1,1,1
20071700,2098,1,0,0,1,1,1,1
20071800,2098,0,0,0,1,1,1,1
20072000,2021,1,0,0,0,0,0,0
20072100,2014,0,0,0,1,1,1,1
20072200,2070,0,0,0,0,0,0,0
20072300,2070,0,0,0,1,1,1,1
20072400,2084,0,0,1,0,0,0,1
20072600,2084,0,0,0,0,0,1,0
20072700,2105,0,0,0,0,0,1,0
20072800,2105,0,0,0,1,1,1,1
20072900,2098,0,0,0,1,1,1,1
20073000,2098,0,0,0,0,0,1,0
20073100,2098,0,0,0,0,0,1,0
20073200,2105,0,0,0,0,0,0,1
20073300,2098,0,0,0,1,1,1,1
20073500,2105,0,0,0,0,0,1,0
20073600,2056,0,0,0,1,1,1,0
20073700,2063,0,0,0,0,1,0,0
20073701,2063,0,0,0,0,1,0,0
20073702,2063,0,0,0,0,1,0,0
20073703,2063,0,0,0,0,1,0,0
20073800,2063,1,0,0,1,1,1,1
20073900,2098,0,0,0,1,1,1,1
20074000,2098,0,0,0,1,1,1,1
20074100,2021,0,0,0,1,1,1,0
20074200,2021,1,1,0,0,0,0,0
20074300,2098,0,0,0,0,0,1,0
20074400,2014,0,0,0,0,0,0,1
20074500,2070,0,0,0,0,0,1,0
20074600,2070,0,0,1,0,0,0,1
20074700,2014,0,0,0,0,1,1,1
20074800,2007,0,0,0,1,1,1,1
20074900,2007,0,0,0,0,1,1,1
20075000,2070,0,0,0,0,0,0,0
20075100,2070,0,0,0,0,0,1,0
20075200,2007,0,0,0,0,0,0,0
